Config file: ../input/config/mla_v_cycle-refine1.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 5340, matrix Column = 5340
matrix nz_allocated = 104619, matrix nz_used = 104619, matrix nz_unneeded = 0
vector Row = 5340
initial     || b ||_2 = 1.3851994067587832e+00
>>>>local_vec_size = 5340
>>>>~~~~ local_mat_m = 5340, local_mat_n = 5340
            || b ||_2 = 1.3851994067587832e+00
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 1 is 55, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.0448487 (s)
156 MLA ||r(i)||/||b|| 8.0001011435296941e-03
157 MLA ||r(i)||/||b|| 7.9077695974433711e-03
158 MLA ||r(i)||/||b|| 7.8171742469284999e-03
159 MLA ||r(i)||/||b|| 7.7282592378868078e-03
160 MLA ||r(i)||/||b|| 7.6409713500559615e-03
161 MLA ||r(i)||/||b|| 7.5552598014917653e-03
162 MLA ||r(i)||/||b|| 7.4710762468831763e-03
163 MLA ||r(i)||/||b|| 7.3883744819172262e-03
164 MLA ||r(i)||/||b|| 7.3071104300730313e-03
165 MLA ||r(i)||/||b|| 7.2272421008824847e-03
166 MLA ||r(i)||/||b|| 7.1487293988608380e-03
167 MLA ||r(i)||/||b|| 7.0715339489985088e-03
168 MLA ||r(i)||/||b|| 6.9956192528492778e-03
169 MLA ||r(i)||/||b|| 6.9209502237504500e-03
170 MLA ||r(i)||/||b|| 6.8474934657643920e-03
171 MLA ||r(i)||/||b|| 6.7752169607317335e-03
172 MLA ||r(i)||/||b|| 6.7040901497435711e-03
173 MLA ||r(i)||/||b|| 6.6340837358423417e-03
174 MLA ||r(i)||/||b|| 6.5651696110312421e-03
175 MLA ||r(i)||/||b|| 6.4973209426859562e-03
176 MLA ||r(i)||/||b|| 6.4305119865637941e-03
177 MLA ||r(i)||/||b|| 6.3647179755580360e-03
178 MLA ||r(i)||/||b|| 6.2999152722660713e-03
179 MLA ||r(i)||/||b|| 6.2360811650083508e-03
180 MLA ||r(i)||/||b|| 6.1731937036763225e-03
181 MLA ||r(i)||/||b|| 6.1112319476149179e-03
182 MLA ||r(i)||/||b|| 6.0501756902350849e-03
183 MLA ||r(i)||/||b|| 5.9900055521740977e-03
184 MLA ||r(i)||/||b|| 5.9307027871601083e-03
185 MLA ||r(i)||/||b|| 5.8722493876057196e-03
186 MLA ||r(i)||/||b|| 5.8146280052961425e-03
187 MLA ||r(i)||/||b|| 5.7578219658936990e-03
188 MLA ||r(i)||/||b|| 5.7018150675932017e-03
189 MLA ||r(i)||/||b|| 5.6465917292114823e-03
