Config file: ../input/config/mla_v_cycle-refine2.json
order_rbm = 2
angle_type = 1
==== basic information of linear system ====
matrix Row = 19158, matrix Column = 19158
matrix nz_allocated = 387515, matrix nz_used = 387515, matrix nz_unneeded = 0
vector Row = 19158
initial     || b ||_2 = 7.2042734251691598e-01
>>>>local_vec_size = 19158
>>>>~~~~ local_mat_m = 19158, local_mat_n = 19158
            || b ||_2 = 7.2042734251691598e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 2 is 49, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.220137 (s)
140 MLA ||r(i)||/||b|| 1.2211283618510347e-02
141 MLA ||r(i)||/||b|| 1.2001023581765672e-02
142 MLA ||r(i)||/||b|| 1.1795702747751676e-02
143 MLA ||r(i)||/||b|| 1.1595172196350579e-02
144 MLA ||r(i)||/||b|| 1.1399288919074066e-02
145 MLA ||r(i)||/||b|| 1.1207916129693671e-02
146 MLA ||r(i)||/||b|| 1.1020922283690865e-02
147 MLA ||r(i)||/||b|| 1.0838181430962501e-02
148 MLA ||r(i)||/||b|| 1.0659572429767145e-02
149 MLA ||r(i)||/||b|| 1.0484979054832057e-02
150 MLA ||r(i)||/||b|| 1.0314289725714389e-02
151 MLA ||r(i)||/||b|| 1.0147396852799849e-02
152 MLA ||r(i)||/||b|| 9.9841974161169120e-03
153 MLA ||r(i)||/||b|| 9.8245919445489570e-03
154 MLA ||r(i)||/||b|| 9.6684849336934643e-03
155 MLA ||r(i)||/||b|| 9.5157844023866824e-03
156 MLA ||r(i)||/||b|| 9.3664017536573344e-03
157 MLA ||r(i)||/||b|| 9.2202514598788282e-03
158 MLA ||r(i)||/||b|| 9.0772512578394457e-03
159 MLA ||r(i)||/||b|| 8.9373217048121893e-03
160 MLA ||r(i)||/||b|| 8.8003863557926647e-03
161 MLA ||r(i)||/||b|| 8.6663710201067817e-03
162 MLA ||r(i)||/||b|| 8.5352042096095999e-03
163 MLA ||r(i)||/||b|| 8.4068168754891405e-03
164 MLA ||r(i)||/||b|| 8.2811421673627383e-03
165 MLA ||r(i)||/||b|| 8.1581154171869001e-03
166 MLA ||r(i)||/||b|| 8.0376739507860891e-03
167 MLA ||r(i)||/||b|| 7.9197572052396043e-03
168 MLA ||r(i)||/||b|| 7.8043062881513062e-03
169 MLA ||r(i)||/||b|| 7.6912640340108841e-03
170 MLA ||r(i)||/||b|| 7.5805751526683788e-03
171 MLA ||r(i)||/||b|| 7.4721858181321116e-03
172 MLA ||r(i)||/||b|| 7.3660437358947705e-03
173 MLA ||r(i)||/||b|| 7.2620981231712699e-03
174 MLA ||r(i)||/||b|| 7.1602996652456487e-03
175 MLA ||r(i)||/||b|| 7.0606002212374340e-03
176 MLA ||r(i)||/||b|| 6.9629530872597750e-03
177 MLA ||r(i)||/||b|| 6.8673126535997433e-03
178 MLA ||r(i)||/||b|| 6.7736346407210879e-03
179 MLA ||r(i)||/||b|| 6.6818757545510964e-03
180 MLA ||r(i)||/||b|| 6.5919939369491580e-03
181 MLA ||r(i)||/||b|| 6.5039480578627492e-03
182 MLA ||r(i)||/||b|| 6.4176981711538753e-03
183 MLA ||r(i)||/||b|| 6.3332051262968937e-03
184 MLA ||r(i)||/||b|| 6.2504308679803148e-03
185 MLA ||r(i)||/||b|| 6.1693382072563682e-03
186 MLA ||r(i)||/||b|| 6.0898907134296397e-03
187 MLA ||r(i)||/||b|| 6.0120530892800918e-03
188 MLA ||r(i)||/||b|| 5.9357905486351909e-03
189 MLA ||r(i)||/||b|| 5.8610693463241074e-03
190 MLA ||r(i)||/||b|| 5.7878564635773944e-03
191 MLA ||r(i)||/||b|| 5.7161194892839566e-03
192 MLA ||r(i)||/||b|| 5.6458269136093918e-03
193 MLA ||r(i)||/||b|| 5.5769478223006560e-03
194 MLA ||r(i)||/||b|| 5.5094521804998466e-03
195 MLA ||r(i)||/||b|| 5.4433104249087816e-03
196 MLA ||r(i)||/||b|| 5.3784936683138303e-03
197 MLA ||r(i)||/||b|| 5.3149738089791803e-03
198 MLA ||r(i)||/||b|| 5.2527231300227833e-03
199 MLA ||r(i)||/||b|| 5.1917147105670306e-03
200 MLA ||r(i)||/||b|| 5.1319222166273009e-03
201 MLA ||r(i)||/||b|| 5.0733196697175451e-03
202 MLA ||r(i)||/||b|| 5.0158817435638423e-03
203 MLA ||r(i)||/||b|| 4.9595838046117878e-03
204 MLA ||r(i)||/||b|| 4.9044015524276246e-03
205 MLA ||r(i)||/||b|| 4.8503113148159766e-03
206 MLA ||r(i)||/||b|| 4.7972899398313314e-03
207 MLA ||r(i)||/||b|| 4.7453145677211431e-03
208 MLA ||r(i)||/||b|| 4.6943630395894316e-03
209 MLA ||r(i)||/||b|| 4.6444136122013226e-03
210 MLA ||r(i)||/||b|| 4.5954448997813065e-03
211 MLA ||r(i)||/||b|| 4.5474360297995736e-03
212 MLA ||r(i)||/||b|| 4.5003665277596264e-03
213 MLA ||r(i)||/||b|| 4.4542163661097332e-03
214 MLA ||r(i)||/||b|| 4.4089659431043376e-03
215 MLA ||r(i)||/||b|| 4.3645961102138121e-03
216 MLA ||r(i)||/||b|| 4.3210879474693724e-03
217 MLA ||r(i)||/||b|| 4.2784230655070572e-03
218 MLA ||r(i)||/||b|| 4.2365834386059089e-03
219 MLA ||r(i)||/||b|| 4.1955512983917285e-03
220 MLA ||r(i)||/||b|| 4.1553094056475375e-03
221 MLA ||r(i)||/||b|| 4.1158408366113956e-03
222 MLA ||r(i)||/||b|| 4.0771288290229139e-03
223 MLA ||r(i)||/||b|| 4.0391572880992543e-03
224 MLA ||r(i)||/||b|| 4.0019100977255100e-03
225 MLA ||r(i)||/||b|| 3.9653717581907043e-03
226 MLA ||r(i)||/||b|| 3.9295268727130416e-03
227 MLA ||r(i)||/||b|| 3.8943605879591869e-03
228 MLA ||r(i)||/||b|| 3.8598580797817319e-03
229 MLA ||r(i)||/||b|| 3.8260049954494460e-03
230 MLA ||r(i)||/||b|| 3.7927872491634773e-03
231 MLA ||r(i)||/||b|| 3.7601910317392327e-03
232 MLA ||r(i)||/||b|| 3.7282028230448201e-03
233 MLA ||r(i)||/||b|| 3.6968093869526658e-03
234 MLA ||r(i)||/||b|| 3.6659977440454670e-03
235 MLA ||r(i)||/||b|| 3.6357551390256738e-03
236 MLA ||r(i)||/||b|| 3.6060692045740863e-03
237 MLA ||r(i)||/||b|| 3.5769276623958844e-03
238 MLA ||r(i)||/||b|| 3.5483186019331986e-03
239 MLA ||r(i)||/||b|| 3.5202302885684856e-03
240 MLA ||r(i)||/||b|| 3.4926513427195297e-03
241 MLA ||r(i)||/||b|| 3.4655704803866283e-03
242 MLA ||r(i)||/||b|| 3.4389767420135316e-03
243 MLA ||r(i)||/||b|| 3.4128592694023479e-03
244 MLA ||r(i)||/||b|| 3.3872075717636388e-03
245 MLA ||r(i)||/||b|| 3.3620113176234165e-03
246 MLA ||r(i)||/||b|| 3.3372604341375925e-03
247 MLA ||r(i)||/||b|| 3.3129449260966091e-03
248 MLA ||r(i)||/||b|| 3.2890551806784010e-03
249 MLA ||r(i)||/||b|| 3.2655816238320251e-03
250 MLA ||r(i)||/||b|| 3.2425150855587338e-03
251 MLA ||r(i)||/||b|| 3.2198463629480602e-03
252 MLA ||r(i)||/||b|| 3.1975665578445208e-03
253 MLA ||r(i)||/||b|| 3.1756669526927035e-03
254 MLA ||r(i)||/||b|| 3.1541390493286868e-03
255 MLA ||r(i)||/||b|| 3.1329745034896776e-03
256 MLA ||r(i)||/||b|| 3.1121651410699609e-03
257 MLA ||r(i)||/||b|| 3.0917028751554377e-03
258 MLA ||r(i)||/||b|| 3.0715799702383168e-03
259 MLA ||r(i)||/||b|| 3.0517886607733490e-03
260 MLA ||r(i)||/||b|| 3.0323215134017822e-03
261 MLA ||r(i)||/||b|| 3.0131712318474143e-03
262 MLA ||r(i)||/||b|| 2.9943305392421747e-03
263 MLA ||r(i)||/||b|| 2.9757924791530750e-03
264 MLA ||r(i)||/||b|| 2.9575501799228008e-03
265 MLA ||r(i)||/||b|| 2.9395969434967083e-03
266 MLA ||r(i)||/||b|| 2.9219261061815991e-03
267 MLA ||r(i)||/||b|| 2.9045313719071627e-03
268 MLA ||r(i)||/||b|| 2.8874063783113657e-03
269 MLA ||r(i)||/||b|| 2.8705450017244127e-03
270 MLA ||r(i)||/||b|| 2.8539412397432084e-03
271 MLA ||r(i)||/||b|| 2.8375892438300054e-03
272 MLA ||r(i)||/||b|| 2.8214832652019308e-03
273 MLA ||r(i)||/||b|| 2.8056177801556413e-03
274 MLA ||r(i)||/||b|| 2.7899871717839116e-03
275 MLA ||r(i)||/||b|| 2.7745860948208923e-03
276 MLA ||r(i)||/||b|| 2.7594093534358795e-03
277 MLA ||r(i)||/||b|| 2.7444518006244176e-03
278 MLA ||r(i)||/||b|| 2.7297085204749279e-03
279 MLA ||r(i)||/||b|| 2.7151745185683860e-03
280 MLA ||r(i)||/||b|| 2.7008451287384477e-03
281 MLA ||r(i)||/||b|| 2.6867157140951134e-03
282 MLA ||r(i)||/||b|| 2.6727817341401575e-03
283 MLA ||r(i)||/||b|| 2.6590385944204068e-03
284 MLA ||r(i)||/||b|| 2.6454821901283950e-03
285 MLA ||r(i)||/||b|| 2.6321080959833738e-03
286 MLA ||r(i)||/||b|| 2.6189121756724030e-03
287 MLA ||r(i)||/||b|| 2.6058905146344987e-03
288 MLA ||r(i)||/||b|| 2.5930391829724498e-03
289 MLA ||r(i)||/||b|| 2.5803542105397670e-03
290 MLA ||r(i)||/||b|| 2.5678319732549818e-03
291 MLA ||r(i)||/||b|| 2.5554688387456562e-03
292 MLA ||r(i)||/||b|| 2.5432610992508664e-03
293 MLA ||r(i)||/||b|| 2.5312054166804383e-03
294 MLA ||r(i)||/||b|| 2.5192982929152386e-03
295 MLA ||r(i)||/||b|| 2.5075365168642739e-03
296 MLA ||r(i)||/||b|| 2.4959167849977473e-03
297 MLA ||r(i)||/||b|| 2.4844359942136434e-03
298 MLA ||r(i)||/||b|| 2.4730910080278602e-03
299 MLA ||r(i)||/||b|| 2.4618789184384618e-03
300 MLA ||r(i)||/||b|| 2.4507967307151614e-03
301 MLA ||r(i)||/||b|| 2.4398417435619120e-03
302 MLA ||r(i)||/||b|| 2.4290110269061028e-03
303 MLA ||r(i)||/||b|| 2.4183019177711237e-03
304 MLA ||r(i)||/||b|| 2.4077118916969085e-03
305 MLA ||r(i)||/||b|| 2.3972383074460282e-03
306 MLA ||r(i)||/||b|| 2.3868786563623181e-03
307 MLA ||r(i)||/||b|| 2.3766306033620086e-03
308 MLA ||r(i)||/||b|| 2.3664916800356832e-03
309 MLA ||r(i)||/||b|| 2.3564596032669936e-03
310 MLA ||r(i)||/||b|| 2.3465321254730769e-03
311 MLA ||r(i)||/||b|| 2.3367069539168401e-03
312 MLA ||r(i)||/||b|| 2.3269822061553133e-03
313 MLA ||r(i)||/||b|| 2.3173556089470656e-03
314 MLA ||r(i)||/||b|| 2.3078252158508306e-03
315 MLA ||r(i)||/||b|| 2.2983891521521833e-03
316 MLA ||r(i)||/||b|| 2.2890453475727999e-03
317 MLA ||r(i)||/||b|| 2.2797919307911084e-03
318 MLA ||r(i)||/||b|| 2.2706272011028452e-03
319 MLA ||r(i)||/||b|| 2.2615494580757499e-03
320 MLA ||r(i)||/||b|| 2.2525568429950685e-03
321 MLA ||r(i)||/||b|| 2.2436476903458374e-03
322 MLA ||r(i)||/||b|| 2.2348205295396389e-03
323 MLA ||r(i)||/||b|| 2.2260736465878378e-03
324 MLA ||r(i)||/||b|| 2.2174055382886311e-03
325 MLA ||r(i)||/||b|| 2.2088147243028463e-03
326 MLA ||r(i)||/||b|| 2.2002997954395191e-03
327 MLA ||r(i)||/||b|| 2.1918592903666843e-03
328 MLA ||r(i)||/||b|| 2.1834918650925727e-03
329 MLA ||r(i)||/||b|| 2.1751960569797702e-03
330 MLA ||r(i)||/||b|| 2.1669707012057231e-03
331 MLA ||r(i)||/||b|| 2.1588146201026899e-03
332 MLA ||r(i)||/||b|| 2.1507264204887197e-03
333 MLA ||r(i)||/||b|| 2.1427050280514006e-03
334 MLA ||r(i)||/||b|| 2.1347491728674565e-03
335 MLA ||r(i)||/||b|| 2.1268578216217674e-03
336 MLA ||r(i)||/||b|| 2.1190299082208771e-03
337 MLA ||r(i)||/||b|| 2.1112642530386216e-03
338 MLA ||r(i)||/||b|| 2.1035599341251909e-03
339 MLA ||r(i)||/||b|| 2.0959158423990258e-03
340 MLA ||r(i)||/||b|| 2.0883310927987879e-03
341 MLA ||r(i)||/||b|| 2.0808046695659022e-03
342 MLA ||r(i)||/||b|| 2.0733357646701305e-03
343 MLA ||r(i)||/||b|| 2.0659234184271995e-03
344 MLA ||r(i)||/||b|| 2.0585342294412879e-03
345 MLA ||r(i)||/||b|| 2.0512476262667411e-03
346 MLA ||r(i)||/||b|| 2.0440166541027239e-03
347 MLA ||r(i)||/||b|| 2.0368333168435831e-03
348 MLA ||r(i)||/||b|| 2.0296961508170733e-03
349 MLA ||r(i)||/||b|| 2.0226057643960150e-03
350 MLA ||r(i)||/||b|| 2.0155635848428440e-03
351 MLA ||r(i)||/||b|| 2.0085708387285626e-03
352 MLA ||r(i)||/||b|| 2.0016278799291562e-03
353 MLA ||r(i)||/||b|| 1.9947344643303348e-03
354 MLA ||r(i)||/||b|| 1.9878898580792891e-03
355 MLA ||r(i)||/||b|| 1.9810933318604425e-03
356 MLA ||r(i)||/||b|| 1.9743441311071220e-03
357 MLA ||r(i)||/||b|| 1.9676417259218357e-03
358 MLA ||r(i)||/||b|| 1.9609448113121174e-03
359 MLA ||r(i)||/||b|| 1.9543526473580213e-03
360 MLA ||r(i)||/||b|| 1.9478071980625023e-03
361 MLA ||r(i)||/||b|| 1.9412997365072673e-03
362 MLA ||r(i)||/||b|| 1.9348286617366889e-03
363 MLA ||r(i)||/||b|| 1.9283950602471825e-03
364 MLA ||r(i)||/||b|| 1.9220006902333333e-03
