Config file: ../input/config/mla_v_cycle-refine1.json
order_rbm = 2
angle_type = 1
==== basic information of linear system ====
matrix Row = 5340, matrix Column = 5340
matrix nz_allocated = 104619, matrix nz_used = 104619, matrix nz_unneeded = 0
vector Row = 5340
initial     || b ||_2 = 1.3851994067587832e+00
>>>>local_vec_size = 5340
>>>>~~~~ local_mat_m = 5340, local_mat_n = 5340
            || b ||_2 = 1.3851994067587832e+00
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 1 is 55, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.0516977 (s)
195 MLA ||r(i)||/||b|| 3.0937554421000633e-03
196 MLA ||r(i)||/||b|| 3.0713575365368538e-03
197 MLA ||r(i)||/||b|| 3.0492430693662624e-03
198 MLA ||r(i)||/||b|| 3.0274060811698428e-03
199 MLA ||r(i)||/||b|| 3.0058407153303267e-03
200 MLA ||r(i)||/||b|| 2.9845413235088910e-03
201 MLA ||r(i)||/||b|| 2.9635023878677533e-03
202 MLA ||r(i)||/||b|| 2.9427184131216011e-03
203 MLA ||r(i)||/||b|| 2.9221841816587813e-03
204 MLA ||r(i)||/||b|| 2.9018944870472544e-03
205 MLA ||r(i)||/||b|| 2.8818443734619659e-03
206 MLA ||r(i)||/||b|| 2.8620288956963621e-03
207 MLA ||r(i)||/||b|| 2.8424433742064892e-03
208 MLA ||r(i)||/||b|| 2.8230831189935803e-03
209 MLA ||r(i)||/||b|| 2.8039436595307201e-03
210 MLA ||r(i)||/||b|| 2.7850206275242644e-03
211 MLA ||r(i)||/||b|| 2.7663097282980319e-03
212 MLA ||r(i)||/||b|| 2.7478068980571991e-03
213 MLA ||r(i)||/||b|| 2.7295081012149299e-03
214 MLA ||r(i)||/||b|| 2.7114094447455253e-03
215 MLA ||r(i)||/||b|| 2.6935071753070904e-03
216 MLA ||r(i)||/||b|| 2.6757976096698135e-03
217 MLA ||r(i)||/||b|| 2.6582772471120471e-03
218 MLA ||r(i)||/||b|| 2.6409425558394559e-03
219 MLA ||r(i)||/||b|| 2.6237902426516553e-03
220 MLA ||r(i)||/||b|| 2.6068171077956730e-03
221 MLA ||r(i)||/||b|| 2.5900199914515010e-03
222 MLA ||r(i)||/||b|| 2.5733958292612183e-03
223 MLA ||r(i)||/||b|| 2.5569416894379009e-03
224 MLA ||r(i)||/||b|| 2.5406547570923630e-03
225 MLA ||r(i)||/||b|| 2.5245322234950444e-03
226 MLA ||r(i)||/||b|| 2.5085714886524633e-03
227 MLA ||r(i)||/||b|| 2.4927698673347927e-03
228 MLA ||r(i)||/||b|| 2.4771249090894207e-03
229 MLA ||r(i)||/||b|| 2.4616341798601206e-03
230 MLA ||r(i)||/||b|| 2.4462953123361554e-03
231 MLA ||r(i)||/||b|| 2.4311059585414296e-03
232 MLA ||r(i)||/||b|| 2.4160640418752172e-03
233 MLA ||r(i)||/||b|| 2.4011672946301450e-03
234 MLA ||r(i)||/||b|| 2.3864137244034222e-03
235 MLA ||r(i)||/||b|| 2.3718012219843165e-03
236 MLA ||r(i)||/||b|| 2.3573279305275038e-03
237 MLA ||r(i)||/||b|| 2.3429918650815832e-03
238 MLA ||r(i)||/||b|| 2.3287912269482737e-03
239 MLA ||r(i)||/||b|| 2.3147241934965718e-03
240 MLA ||r(i)||/||b|| 2.3007890339780085e-03
241 MLA ||r(i)||/||b|| 2.2869840245457415e-03
242 MLA ||r(i)||/||b|| 2.2733075706980735e-03
243 MLA ||r(i)||/||b|| 2.2597580223648055e-03
244 MLA ||r(i)||/||b|| 2.2463338605190970e-03
245 MLA ||r(i)||/||b|| 2.2330335191673924e-03
246 MLA ||r(i)||/||b|| 2.2198555472912060e-03
247 MLA ||r(i)||/||b|| 2.2067984516576477e-03
248 MLA ||r(i)||/||b|| 2.1938608844562424e-03
249 MLA ||r(i)||/||b|| 2.1810414029968580e-03
250 MLA ||r(i)||/||b|| 2.1683386640673438e-03
251 MLA ||r(i)||/||b|| 2.1557513620543874e-03
252 MLA ||r(i)||/||b|| 2.1432782015470288e-03
253 MLA ||r(i)||/||b|| 2.1309179152642125e-03
254 MLA ||r(i)||/||b|| 2.1186692398539341e-03
255 MLA ||r(i)||/||b|| 2.1065309814718340e-03
