Config file: ../input/config/mla_v_cycle-refine2.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 19158, matrix Column = 19158
matrix nz_allocated = 387515, matrix nz_used = 387515, matrix nz_unneeded = 0
vector Row = 19158
initial     || b ||_2 = 7.2042734251691598e-01
>>>>local_vec_size = 19158
>>>>~~~~ local_mat_m = 19158, local_mat_n = 19158
            || b ||_2 = 7.2042734251691598e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 2 is 49, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.190178 (s)
190 MLA ||r(i)||/||b|| 1.5753585896314752e-02
191 MLA ||r(i)||/||b|| 1.5568759884627786e-02
192 MLA ||r(i)||/||b|| 1.5386352826643893e-02
193 MLA ||r(i)||/||b|| 1.5206345420539991e-02
194 MLA ||r(i)||/||b|| 1.5028716886889384e-02
195 MLA ||r(i)||/||b|| 1.4853445004657170e-02
196 MLA ||r(i)||/||b|| 1.4680506472943200e-02
197 MLA ||r(i)||/||b|| 1.4509876960419148e-02
198 MLA ||r(i)||/||b|| 1.4341531355279319e-02
199 MLA ||r(i)||/||b|| 1.4175443587561896e-02
200 MLA ||r(i)||/||b|| 1.4011587313579574e-02
201 MLA ||r(i)||/||b|| 1.3849935580120720e-02
202 MLA ||r(i)||/||b|| 1.3690461207793190e-02
203 MLA ||r(i)||/||b|| 1.3533136911967201e-02
204 MLA ||r(i)||/||b|| 1.3377935232480773e-02
205 MLA ||r(i)||/||b|| 1.3224828988871586e-02
206 MLA ||r(i)||/||b|| 1.3073791052467020e-02
207 MLA ||r(i)||/||b|| 1.2924794600703534e-02
208 MLA ||r(i)||/||b|| 1.2777813069861595e-02
209 MLA ||r(i)||/||b|| 1.2632820366394180e-02
210 MLA ||r(i)||/||b|| 1.2489790872583187e-02
211 MLA ||r(i)||/||b|| 1.2348699221484622e-02
212 MLA ||r(i)||/||b|| 1.2209520989470379e-02
213 MLA ||r(i)||/||b|| 1.2072231887056794e-02
214 MLA ||r(i)||/||b|| 1.1936808242776214e-02
215 MLA ||r(i)||/||b|| 1.1803226995416825e-02
216 MLA ||r(i)||/||b|| 1.1671465556120425e-02
217 MLA ||r(i)||/||b|| 1.1541501802497120e-02
218 MLA ||r(i)||/||b|| 1.1413314200234516e-02
219 MLA ||r(i)||/||b|| 1.1286881691458457e-02
220 MLA ||r(i)||/||b|| 1.1162183509137781e-02
221 MLA ||r(i)||/||b|| 1.1039199358252915e-02
222 MLA ||r(i)||/||b|| 1.0917909475651843e-02
223 MLA ||r(i)||/||b|| 1.0798294327622013e-02
224 MLA ||r(i)||/||b|| 1.0680334545092570e-02
225 MLA ||r(i)||/||b|| 1.0564011328089967e-02
226 MLA ||r(i)||/||b|| 1.0449305955625536e-02
227 MLA ||r(i)||/||b|| 1.0336200006144380e-02
228 MLA ||r(i)||/||b|| 1.0224675190945670e-02
229 MLA ||r(i)||/||b|| 1.0114713396921984e-02
230 MLA ||r(i)||/||b|| 1.0006296637563781e-02
231 MLA ||r(i)||/||b|| 9.8994071366885171e-03
232 MLA ||r(i)||/||b|| 9.7940271933433173e-03
233 MLA ||r(i)||/||b|| 9.6901391528609188e-03
234 MLA ||r(i)||/||b|| 9.5877254342913668e-03
235 MLA ||r(i)||/||b|| 9.4867685096349918e-03
236 MLA ||r(i)||/||b|| 9.3872510239131433e-03
237 MLA ||r(i)||/||b|| 9.2891554937477340e-03
238 MLA ||r(i)||/||b|| 9.1924645743679777e-03
239 MLA ||r(i)||/||b|| 9.0971610348501448e-03
240 MLA ||r(i)||/||b|| 9.0032274739953056e-03
241 MLA ||r(i)||/||b|| 8.9106467204368000e-03
242 MLA ||r(i)||/||b|| 8.8194015936791693e-03
243 MLA ||r(i)||/||b|| 8.7294747977121560e-03
244 MLA ||r(i)||/||b|| 8.6408494361752616e-03
245 MLA ||r(i)||/||b|| 8.5535082285763692e-03
246 MLA ||r(i)||/||b|| 8.4674343055126441e-03
247 MLA ||r(i)||/||b|| 8.3826106328289615e-03
248 MLA ||r(i)||/||b|| 8.2990204812671137e-03
249 MLA ||r(i)||/||b|| 8.2166469156231478e-03
250 MLA ||r(i)||/||b|| 8.1354732872550312e-03
251 MLA ||r(i)||/||b|| 8.0554830409937921e-03
252 MLA ||r(i)||/||b|| 7.9766595472383732e-03
253 MLA ||r(i)||/||b|| 7.8989865164373306e-03
254 MLA ||r(i)||/||b|| 7.8224474998909183e-03
255 MLA ||r(i)||/||b|| 7.7470264195739456e-03
256 MLA ||r(i)||/||b|| 7.6727071062921781e-03
257 MLA ||r(i)||/||b|| 7.5994737208571507e-03
