Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
>>>>local_vec_size = 73482
>>>>~~~~ local_mat_m = 73482, local_mat_n = 73482
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 3 is 47, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.84187 (s)
156 MLA ||r(i)||/||b|| 2.3475275493495557e-01
157 MLA ||r(i)||/||b|| 2.2936799494902751e-01
158 MLA ||r(i)||/||b|| 2.2410547196836203e-01
159 MLA ||r(i)||/||b|| 2.1896236953883300e-01
160 MLA ||r(i)||/||b|| 2.1393594224650256e-01
161 MLA ||r(i)||/||b|| 2.0902351383112339e-01
162 MLA ||r(i)||/||b|| 2.0422247400257829e-01
163 MLA ||r(i)||/||b|| 1.9953027763665637e-01
164 MLA ||r(i)||/||b|| 1.9494444188528734e-01
165 MLA ||r(i)||/||b|| 1.9046254451595324e-01
166 MLA ||r(i)||/||b|| 1.8608222249523951e-01
167 MLA ||r(i)||/||b|| 1.8180116968484950e-01
168 MLA ||r(i)||/||b|| 1.7761713552461780e-01
169 MLA ||r(i)||/||b|| 1.7352792347365159e-01
170 MLA ||r(i)||/||b|| 1.6953138926231187e-01
171 MLA ||r(i)||/||b|| 1.6562543934256960e-01
172 MLA ||r(i)||/||b|| 1.6180802986839629e-01
173 MLA ||r(i)||/||b|| 1.5807716490038046e-01
174 MLA ||r(i)||/||b|| 1.5443089540645788e-01
175 MLA ||r(i)||/||b|| 1.5086731775918330e-01
176 MLA ||r(i)||/||b|| 1.4738457246648415e-01
177 MLA ||r(i)||/||b|| 1.4398084328578875e-01
178 MLA ||r(i)||/||b|| 1.4065435593032530e-01
179 MLA ||r(i)||/||b|| 1.3740337672294536e-01
180 MLA ||r(i)||/||b|| 1.3422621193824646e-01
181 MLA ||r(i)||/||b|| 1.3112120658462731e-01
182 MLA ||r(i)||/||b|| 1.2808674340481679e-01
183 MLA ||r(i)||/||b|| 1.2512124209664585e-01
184 MLA ||r(i)||/||b|| 1.2222315801449403e-01
185 MLA ||r(i)||/||b|| 1.1939098149650552e-01
186 MLA ||r(i)||/||b|| 1.1662323717473685e-01
187 MLA ||r(i)||/||b|| 1.1391848258809027e-01
188 MLA ||r(i)||/||b|| 1.1127530800882413e-01
189 MLA ||r(i)||/||b|| 1.0869233532154274e-01
190 MLA ||r(i)||/||b|| 1.0616821723407428e-01
191 MLA ||r(i)||/||b|| 1.0370163687859285e-01
192 MLA ||r(i)||/||b|| 1.0129130617184151e-01
193 MLA ||r(i)||/||b|| 9.8935966312053689e-02
194 MLA ||r(i)||/||b|| 9.6634386592291066e-02
195 MLA ||r(i)||/||b|| 9.4385363297323457e-02
196 MLA ||r(i)||/||b|| 9.2187719869000276e-02
197 MLA ||r(i)||/||b|| 9.0040305530837625e-02
198 MLA ||r(i)||/||b|| 8.7941995174074777e-02
199 MLA ||r(i)||/||b|| 8.5891688582893574e-02
200 MLA ||r(i)||/||b|| 8.3888310072800176e-02
201 MLA ||r(i)||/||b|| 8.1930807654512383e-02
202 MLA ||r(i)||/||b|| 8.0018152402142287e-02
203 MLA ||r(i)||/||b|| 7.8149338511659852e-02
204 MLA ||r(i)||/||b|| 7.6323382096826223e-02
205 MLA ||r(i)||/||b|| 7.4539321114123869e-02
206 MLA ||r(i)||/||b|| 7.2796214565742229e-02
207 MLA ||r(i)||/||b|| 7.1093142708004431e-02
208 MLA ||r(i)||/||b|| 6.9429205410468736e-02
209 MLA ||r(i)||/||b|| 6.7803522908047059e-02
210 MLA ||r(i)||/||b|| 6.6215234518744115e-02
211 MLA ||r(i)||/||b|| 6.4663498744885500e-02
212 MLA ||r(i)||/||b|| 6.3147492656471266e-02
213 MLA ||r(i)||/||b|| 6.1666411267158203e-02
