Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 2
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
>>>>local_vec_size = 73482
>>>>~~~~ local_mat_m = 73482, local_mat_n = 73482
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 3 is 47, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.979449 (s)
135 MLA ||r(i)||/||b||                   inf
136 MLA ||r(i)||/||b||                   inf
137 MLA ||r(i)||/||b||                   inf
138 MLA ||r(i)||/||b||                   inf
139 MLA ||r(i)||/||b||                   inf
140 MLA ||r(i)||/||b||                   inf
141 MLA ||r(i)||/||b||                   inf
142 MLA ||r(i)||/||b||                   inf
143 MLA ||r(i)||/||b||                   inf
144 MLA ||r(i)||/||b||                   inf
145 MLA ||r(i)||/||b||                   inf
146 MLA ||r(i)||/||b||                   inf
147 MLA ||r(i)||/||b||                   inf
148 MLA ||r(i)||/||b||                   inf
149 MLA ||r(i)||/||b||                   inf
150 MLA ||r(i)||/||b||                   inf
151 MLA ||r(i)||/||b||                   inf
152 MLA ||r(i)||/||b||                   inf
153 MLA ||r(i)||/||b||                   inf
154 MLA ||r(i)||/||b||                   inf
155 MLA ||r(i)||/||b||                   inf
156 MLA ||r(i)||/||b||                   inf
157 MLA ||r(i)||/||b||                   inf
158 MLA ||r(i)||/||b||                   inf
159 MLA ||r(i)||/||b||                   inf
160 MLA ||r(i)||/||b||                   inf
161 MLA ||r(i)||/||b||                   inf
162 MLA ||r(i)||/||b||                   inf
163 MLA ||r(i)||/||b||                   inf
164 MLA ||r(i)||/||b||                   inf
165 MLA ||r(i)||/||b||                   inf
166 MLA ||r(i)||/||b||                   inf
167 MLA ||r(i)||/||b||                   inf
168 MLA ||r(i)||/||b||                   inf
169 MLA ||r(i)||/||b||                   inf
170 MLA ||r(i)||/||b||                   inf
171 MLA ||r(i)||/||b||                   inf
172 MLA ||r(i)||/||b||                   inf
173 MLA ||r(i)||/||b||                   inf
174 MLA ||r(i)||/||b||                   inf
175 MLA ||r(i)||/||b||                   inf
176 MLA ||r(i)||/||b||                   inf
177 MLA ||r(i)||/||b||                   inf
178 MLA ||r(i)||/||b||                   inf
179 MLA ||r(i)||/||b||                   inf
180 MLA ||r(i)||/||b||                   inf
181 MLA ||r(i)||/||b||                   inf
182 MLA ||r(i)||/||b||                   inf
183 MLA ||r(i)||/||b||                   inf
184 MLA ||r(i)||/||b||                   inf
185 MLA ||r(i)||/||b||                   inf
