Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
>>>>local_vec_size = 73482
>>>>~~~~ local_mat_m = 73482, local_mat_n = 73482
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 3 is 47, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.838865 (s)
194 MLA ||r(i)||/||b|| 4.4733039231598021e-02
195 MLA ||r(i)||/||b|| 4.3596942587751215e-02
196 MLA ||r(i)||/||b|| 4.2489304209675116e-02
197 MLA ||r(i)||/||b|| 4.1409425760761065e-02
198 MLA ||r(i)||/||b|| 4.0356625243288861e-02
199 MLA ||r(i)||/||b|| 3.9330237239082383e-02
200 MLA ||r(i)||/||b|| 3.8329612214348704e-02
201 MLA ||r(i)||/||b|| 3.7354115894313727e-02
202 MLA ||r(i)||/||b|| 3.6403129556507242e-02
203 MLA ||r(i)||/||b|| 3.5476048984133854e-02
204 MLA ||r(i)||/||b|| 3.4572284620303297e-02
205 MLA ||r(i)||/||b|| 3.3691261089086558e-02
206 MLA ||r(i)||/||b|| 3.2832416721814167e-02
207 MLA ||r(i)||/||b|| 3.1995203343081279e-02
208 MLA ||r(i)||/||b|| 3.1179086013128375e-02
209 MLA ||r(i)||/||b|| 3.0383542830476781e-02
210 MLA ||r(i)||/||b|| 2.9608064150532128e-02
211 MLA ||r(i)||/||b|| 2.8852152891768752e-02
212 MLA ||r(i)||/||b|| 2.8115323853603363e-02
213 MLA ||r(i)||/||b|| 2.7397103657372090e-02
214 MLA ||r(i)||/||b|| 2.6697030145180520e-02
215 MLA ||r(i)||/||b|| 2.6014652486335423e-02
216 MLA ||r(i)||/||b|| 2.5349530972495867e-02
217 MLA ||r(i)||/||b|| 2.4701236207563235e-02
218 MLA ||r(i)||/||b|| 2.4069349342673851e-02
219 MLA ||r(i)||/||b|| 2.3453461894352743e-02
220 MLA ||r(i)||/||b|| 2.2853175086511288e-02
221 MLA ||r(i)||/||b|| 2.2268099803929773e-02
222 MLA ||r(i)||/||b|| 2.1697856685764218e-02
223 MLA ||r(i)||/||b|| 2.1142075400722632e-02
224 MLA ||r(i)||/||b|| 2.0600394579982577e-02
225 MLA ||r(i)||/||b|| 2.0072461802973098e-02
226 MLA ||r(i)||/||b|| 1.9557933391550715e-02
227 MLA ||r(i)||/||b|| 1.9056473773661715e-02
228 MLA ||r(i)||/||b|| 1.8567755885302725e-02
229 MLA ||r(i)||/||b|| 1.8091460440596514e-02
230 MLA ||r(i)||/||b|| 1.7627276086411889e-02
231 MLA ||r(i)||/||b|| 1.7174899093852922e-02
232 MLA ||r(i)||/||b|| 1.6734033148013777e-02
233 MLA ||r(i)||/||b|| 1.6304389332325246e-02
234 MLA ||r(i)||/||b|| 1.5885685725957749e-02
235 MLA ||r(i)||/||b|| 1.5477647374834739e-02
236 MLA ||r(i)||/||b|| 1.5080006117570504e-02
237 MLA ||r(i)||/||b|| 1.4692500399738059e-02
238 MLA ||r(i)||/||b|| 1.4314875039142782e-02
239 MLA ||r(i)||/||b|| 1.3946881251111804e-02
240 MLA ||r(i)||/||b|| 1.3588276450162791e-02
241 MLA ||r(i)||/||b|| 1.3238823876239751e-02
242 MLA ||r(i)||/||b|| 1.2898292627595566e-02
243 MLA ||r(i)||/||b|| 1.2566457744575509e-02
244 MLA ||r(i)||/||b|| 1.2243099698640111e-02
245 MLA ||r(i)||/||b|| 1.1928004301426008e-02
246 MLA ||r(i)||/||b|| 1.1620962873305206e-02
247 MLA ||r(i)||/||b|| 1.1321771744870097e-02
248 MLA ||r(i)||/||b|| 1.1030232456725480e-02
249 MLA ||r(i)||/||b|| 1.0746151428165230e-02
250 MLA ||r(i)||/||b|| 1.0469339753474969e-02
251 MLA ||r(i)||/||b|| 1.0199613455052152e-02
252 MLA ||r(i)||/||b|| 9.9367930072247011e-03
253 MLA ||r(i)||/||b|| 9.6807033765331438e-03
254 MLA ||r(i)||/||b|| 9.4311739660355078e-03
255 MLA ||r(i)||/||b|| 9.1880383676622036e-03
256 MLA ||r(i)||/||b|| 8.9511342002095776e-03
257 MLA ||r(i)||/||b|| 8.7203033979139366e-03
258 MLA ||r(i)||/||b|| 8.4953917474947169e-03
259 MLA ||r(i)||/||b|| 8.2762488872240390e-03
260 MLA ||r(i)||/||b|| 8.0627280523685781e-03
261 MLA ||r(i)||/||b|| 7.8546864966312965e-03
262 MLA ||r(i)||/||b|| 7.6519846832499268e-03
263 MLA ||r(i)||/||b|| 7.4544869222986357e-03
264 MLA ||r(i)||/||b|| 7.2620606713591157e-03
265 MLA ||r(i)||/||b|| 7.0745768330540146e-03
266 MLA ||r(i)||/||b|| 6.8919093635110441e-03
267 MLA ||r(i)||/||b|| 6.7139358499275744e-03
268 MLA ||r(i)||/||b|| 6.5405364138731801e-03
269 MLA ||r(i)||/||b|| 6.3715944629964601e-03
270 MLA ||r(i)||/||b|| 6.2069963711713595e-03
271 MLA ||r(i)||/||b|| 6.0466313150236168e-03
272 MLA ||r(i)||/||b|| 5.8903912298597138e-03
273 MLA ||r(i)||/||b|| 5.7381708542645479e-03
274 MLA ||r(i)||/||b|| 5.5898674301428954e-03
275 MLA ||r(i)||/||b|| 5.4453809253814708e-03
276 MLA ||r(i)||/||b|| 5.3046139426666389e-03
277 MLA ||r(i)||/||b|| 5.1674711649948605e-03
278 MLA ||r(i)||/||b|| 5.0338602080039450e-03
279 MLA ||r(i)||/||b|| 4.9036904647652138e-03
280 MLA ||r(i)||/||b|| 4.7768740339897107e-03
281 MLA ||r(i)||/||b|| 4.6533251273358760e-03
282 MLA ||r(i)||/||b|| 4.5329600811274771e-03
283 MLA ||r(i)||/||b|| 4.4156972885628139e-03
284 MLA ||r(i)||/||b|| 4.3014574353330464e-03
285 MLA ||r(i)||/||b|| 4.1901629488972341e-03
286 MLA ||r(i)||/||b|| 4.0817383853893538e-03
287 MLA ||r(i)||/||b|| 3.9761101515023937e-03
288 MLA ||r(i)||/||b|| 3.8732066628266860e-03
289 MLA ||r(i)||/||b|| 3.7729579823608437e-03
290 MLA ||r(i)||/||b|| 3.6752958739638564e-03
291 MLA ||r(i)||/||b|| 3.5801542437395870e-03
292 MLA ||r(i)||/||b|| 3.4874681797988382e-03
293 MLA ||r(i)||/||b|| 3.3971747153770794e-03
294 MLA ||r(i)||/||b|| 3.3092124299098327e-03
295 MLA ||r(i)||/||b|| 3.2235214075264302e-03
