Config file: ../input/config/mla_v_cycle-refine0.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 1506, matrix Column = 1506
matrix nz_allocated = 27747, matrix nz_used = 27747, matrix nz_unneeded = 0
vector Row = 1506
initial     || b ||_2 = 2.6501139470351753e+00
>>>>local_vec_size = 1506
>>>>~~~~ local_mat_m = 1506, local_mat_n = 1506
            || b ||_2 = 2.6501139470351753e+00
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 0 is 62, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.0105965 (s)
150 MLA ||r(i)||/||b|| 4.0717722082859165e-06
151 MLA ||r(i)||/||b|| 4.0717702969776246e-06
152 MLA ||r(i)||/||b|| 4.0717712818230272e-06
153 MLA ||r(i)||/||b|| 4.0717691452609276e-06
154 MLA ||r(i)||/||b|| 4.0717701140784102e-06
155 MLA ||r(i)||/||b|| 4.0717691157004840e-06
156 MLA ||r(i)||/||b|| 4.0717717071689760e-06
157 MLA ||r(i)||/||b|| 4.0717713305553357e-06
158 MLA ||r(i)||/||b|| 4.0717718040349980e-06
159 MLA ||r(i)||/||b|| 4.0717752507119197e-06
160 MLA ||r(i)||/||b|| 4.0717857426899734e-06
161 MLA ||r(i)||/||b|| 4.0717685973873075e-06
162 MLA ||r(i)||/||b|| 4.0717693990312261e-06
163 MLA ||r(i)||/||b|| 4.0717743218255311e-06
164 MLA ||r(i)||/||b|| 4.0717733985340458e-06
165 MLA ||r(i)||/||b|| 4.0717777280314811e-06
166 MLA ||r(i)||/||b|| 4.0717748458198312e-06
167 MLA ||r(i)||/||b|| 4.0717726605091787e-06
168 MLA ||r(i)||/||b|| 4.0717483867110015e-06
169 MLA ||r(i)||/||b|| 4.0717505858560203e-06
170 MLA ||r(i)||/||b|| 4.0717535709760831e-06
171 MLA ||r(i)||/||b|| 4.0717564121308289e-06
172 MLA ||r(i)||/||b|| 4.0717575972599857e-06
173 MLA ||r(i)||/||b|| 4.0717544405629445e-06
174 MLA ||r(i)||/||b|| 4.0717742715348641e-06
175 MLA ||r(i)||/||b|| 4.0717771408160385e-06
176 MLA ||r(i)||/||b|| 4.0717751437444961e-06
177 MLA ||r(i)||/||b|| 4.0717754811369636e-06
178 MLA ||r(i)||/||b|| 4.0715244841625484e-06
179 MLA ||r(i)||/||b|| 4.0715240262207635e-06
180 MLA ||r(i)||/||b|| 4.0715104108617198e-06
181 MLA ||r(i)||/||b|| 4.0716108160972669e-06
182 MLA ||r(i)||/||b|| 4.0716125640282294e-06
183 MLA ||r(i)||/||b|| 4.0716245075269250e-06
184 MLA ||r(i)||/||b|| 4.0716262674845984e-06
185 MLA ||r(i)||/||b|| 4.0716302448948210e-06
186 MLA ||r(i)||/||b|| 4.0716357019310407e-06
187 MLA ||r(i)||/||b|| 4.0716355723590683e-06
188 MLA ||r(i)||/||b|| 4.0716340370474286e-06
189 MLA ||r(i)||/||b|| 4.0716358557683464e-06
190 MLA ||r(i)||/||b|| 4.0716339047314971e-06
191 MLA ||r(i)||/||b|| 4.0716347176606660e-06
192 MLA ||r(i)||/||b|| 4.0716364029294304e-06
193 MLA ||r(i)||/||b|| 4.0716342154804882e-06
194 MLA ||r(i)||/||b|| 4.0716369068308681e-06
195 MLA ||r(i)||/||b|| 4.0716399914080598e-06
196 MLA ||r(i)||/||b|| 4.0716443601905605e-06
197 MLA ||r(i)||/||b|| 4.0716719516783429e-06
198 MLA ||r(i)||/||b|| 4.0716371894695945e-06
199 MLA ||r(i)||/||b|| 4.0716272849620020e-06
200 MLA ||r(i)||/||b|| 4.0724850395458433e-06
201 MLA ||r(i)||/||b|| 4.0722977220541516e-06
202 MLA ||r(i)||/||b|| 4.0722915983861989e-06
203 MLA ||r(i)||/||b|| 4.0722904272619984e-06
204 MLA ||r(i)||/||b|| 4.0722925927982898e-06
205 MLA ||r(i)||/||b|| 4.0722903009706853e-06
206 MLA ||r(i)||/||b|| 4.0722896914372892e-06
207 MLA ||r(i)||/||b|| 4.0722902086933541e-06
208 MLA ||r(i)||/||b|| 4.0722828768040521e-06
209 MLA ||r(i)||/||b|| 4.0722970749746064e-06
210 MLA ||r(i)||/||b|| 4.0722994199631862e-06
211 MLA ||r(i)||/||b|| 4.0722977845402998e-06
212 MLA ||r(i)||/||b|| 4.0723019715948446e-06
213 MLA ||r(i)||/||b|| 4.0723144912674143e-06
214 MLA ||r(i)||/||b|| 4.0723190476744018e-06
215 MLA ||r(i)||/||b|| 4.0723198638432921e-06
216 MLA ||r(i)||/||b|| 4.0723178837141569e-06
