Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 2
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
>>>>local_vec_size = 73482
>>>>~~~~ local_mat_m = 73482, local_mat_n = 73482
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 3 is 47, less than 100, setup DONE!>>>>

 58 KSP unpreconditioned resid norm 2.820370904282e-02 true resid norm 2.820370902302e-02 ||r(i)||/||b|| 7.736201977432e-02
 59 KSP unpreconditioned resid norm 2.717715848496e-02 true resid norm 2.717715845852e-02 ||r(i)||/||b|| 7.454621902255e-02
 60 KSP unpreconditioned resid norm 2.707384752007e-02 true resid norm 2.707384750299e-02 ||r(i)||/||b|| 7.426283983372e-02
 61 KSP unpreconditioned resid norm 2.617247425989e-02 true resid norm 2.617247427343e-02 ||r(i)||/||b|| 7.179039716483e-02
 62 KSP unpreconditioned resid norm 2.602113458337e-02 true resid norm 2.602113458671e-02 ||r(i)||/||b|| 7.137527645050e-02
 63 KSP unpreconditioned resid norm 2.615150679545e-02 true resid norm 2.615150680216e-02 ||r(i)||/||b|| 7.173288395174e-02
 64 KSP unpreconditioned resid norm 2.584459963135e-02 true resid norm 2.584459963157e-02 ||r(i)||/||b|| 7.089104578852e-02
 65 KSP unpreconditioned resid norm 3.336978594267e-02 true resid norm 3.336978593539e-02 ||r(i)||/||b|| 9.153243062080e-02
 66 KSP unpreconditioned resid norm 2.069446434608e-02 true resid norm 2.069446433276e-02 ||r(i)||/||b|| 5.676436236182e-02
 67 KSP unpreconditioned resid norm 1.986490409680e-02 true resid norm 1.986490408083e-02 ||r(i)||/||b|| 5.448890077052e-02
 68 KSP unpreconditioned resid norm 1.946174790060e-02 true resid norm 1.946174788418e-02 ||r(i)||/||b|| 5.338305410222e-02
 69 KSP unpreconditioned resid norm 1.901105148005e-02 true resid norm 1.901105145727e-02 ||r(i)||/||b|| 5.214680585337e-02
 70 KSP unpreconditioned resid norm 2.066119256743e-02 true resid norm 2.066119253968e-02 ||r(i)||/||b|| 5.667309872298e-02
 71 KSP unpreconditioned resid norm 1.830787565163e-02 true resid norm 1.830787565619e-02 ||r(i)||/||b|| 5.021801343163e-02
 72 KSP unpreconditioned resid norm 2.345719696562e-02 true resid norm 2.345719697209e-02 ||r(i)||/||b|| 6.434246412497e-02
 73 KSP unpreconditioned resid norm 2.216228953228e-02 true resid norm 2.216228954186e-02 ||r(i)||/||b|| 6.079056766550e-02
 74 KSP unpreconditioned resid norm 1.843773950872e-02 true resid norm 1.843773950116e-02 ||r(i)||/||b|| 5.057422648626e-02
 75 KSP unpreconditioned resid norm 1.720152816700e-02 true resid norm 1.720152817987e-02 ||r(i)||/||b|| 4.718333188424e-02
 76 KSP unpreconditioned resid norm 1.505147321158e-02 true resid norm 1.505147321990e-02 ||r(i)||/||b|| 4.128578861453e-02
 77 KSP unpreconditioned resid norm 1.441395775695e-02 true resid norm 1.441395775043e-02 ||r(i)||/||b|| 3.953710072688e-02
 78 KSP unpreconditioned resid norm 1.694297707578e-02 true resid norm 1.694297707354e-02 ||r(i)||/||b|| 4.647413311239e-02
 79 KSP unpreconditioned resid norm 1.226673764377e-02 true resid norm 1.226673763619e-02 ||r(i)||/||b|| 3.364733336325e-02
 80 KSP unpreconditioned resid norm 1.211655659288e-02 true resid norm 1.211655658275e-02 ||r(i)||/||b|| 3.323539074901e-02
 81 KSP unpreconditioned resid norm 1.070100932656e-02 true resid norm 1.070100931500e-02 ||r(i)||/||b|| 2.935258244071e-02
 82 KSP unpreconditioned resid norm 1.098445443742e-02 true resid norm 1.098445444256e-02 ||r(i)||/||b|| 3.013006484720e-02
 83 KSP unpreconditioned resid norm 1.031039357246e-02 true resid norm 1.031039357066e-02 ||r(i)||/||b|| 2.828113389780e-02
 84 KSP unpreconditioned resid norm 1.042271583196e-02 true resid norm 1.042271581630e-02 ||r(i)||/||b|| 2.858923081446e-02
 85 KSP unpreconditioned resid norm 9.576659090452e-03 true resid norm 9.576659076694e-03 ||r(i)||/||b|| 2.626851979853e-02
 86 KSP unpreconditioned resid norm 1.077408827118e-02 true resid norm 1.077408824759e-02 ||r(i)||/||b|| 2.955303599892e-02
 87 KSP unpreconditioned resid norm 1.020623717317e-02 true resid norm 1.020623715622e-02 ||r(i)||/||b|| 2.799543563779e-02
 88 KSP unpreconditioned resid norm 9.535778049025e-03 true resid norm 9.535778039400e-03 ||r(i)||/||b|| 2.615638420626e-02
 89 KSP unpreconditioned resid norm 7.749548787885e-03 true resid norm 7.749548769295e-03 ||r(i)||/||b|| 2.125680507634e-02
 90 KSP unpreconditioned resid norm 8.771797049864e-03 true resid norm 8.771797035064e-03 ||r(i)||/||b|| 2.406080473774e-02
 91 KSP unpreconditioned resid norm 7.169844743122e-03 true resid norm 7.169844743787e-03 ||r(i)||/||b|| 1.966669243378e-02
 92 KSP unpreconditioned resid norm 6.998603732183e-03 true resid norm 6.998603723055e-03 ||r(i)||/||b|| 1.919698289235e-02
 93 KSP unpreconditioned resid norm 9.685593088746e-03 true resid norm 9.685593086273e-03 ||r(i)||/||b|| 2.656732287426e-02
 94 KSP unpreconditioned resid norm 6.621905421094e-03 true resid norm 6.621905426742e-03 ||r(i)||/||b|| 1.816370953725e-02
 95 KSP unpreconditioned resid norm 8.509671711267e-03 true resid norm 8.509671716277e-03 ||r(i)||/||b|| 2.334180199669e-02
 96 KSP unpreconditioned resid norm 6.855081989337e-03 true resid norm 6.855082010144e-03 ||r(i)||/||b|| 1.880330667114e-02
 97 KSP unpreconditioned resid norm 5.653930516164e-03 true resid norm 5.653930520125e-03 ||r(i)||/||b|| 1.550858024892e-02
