Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
>>>>local_vec_size = 73482
>>>>~~~~ local_mat_m = 73482, local_mat_n = 73482
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 3 is 47, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.84286 (s)
145 MLA ||r(i)||/||b|| 1.5894281658577467e+04
146 MLA ||r(i)||/||b|| 1.6469502275471343e+04
147 MLA ||r(i)||/||b|| 1.7092818636918186e+04
148 MLA ||r(i)||/||b|| 1.7767190817242848e+04
149 MLA ||r(i)||/||b|| 1.8495693733261422e+04
150 MLA ||r(i)||/||b|| 1.9281526268616210e+04
151 MLA ||r(i)||/||b|| 2.0128021997995729e+04
152 MLA ||r(i)||/||b|| 2.1038661421354784e+04
153 MLA ||r(i)||/||b|| 2.2017085596024514e+04
154 MLA ||r(i)||/||b|| 2.3067111044689234e+04
155 MLA ||r(i)||/||b|| 2.4192745818442912e+04
156 MLA ||r(i)||/||b|| 2.5398206604625120e+04
157 MLA ||r(i)||/||b|| 2.6687936786533628e+04
158 MLA ||r(i)||/||b|| 2.8066625384050287e+04
159 MLA ||r(i)||/||b|| 2.9539226828510913e+04
160 MLA ||r(i)||/||b|| 3.1110981549958451e+04
161 MLA ||r(i)||/||b|| 3.2787437378871764e+04
162 MLA ||r(i)||/||b|| 3.4574471786585746e+04
163 MLA ||r(i)||/||b|| 3.6478315008392783e+04
164 MLA ||r(i)||/||b|| 3.8505574110490626e+04
165 MLA ||r(i)||/||b|| 4.0663258076605249e+04
166 MLA ||r(i)||/||b|| 4.2958804002422075e+04
167 MLA ||r(i)||/||b|| 4.5400104496254367e+04
168 MLA ||r(i)||/||b|| 4.7995536393051407e+04
169 MLA ||r(i)||/||b|| 5.0753990896172611e+04
170 MLA ||r(i)||/||b|| 5.3684905267845075e+04
171 MLA ||r(i)||/||b|| 5.6798296195037394e+04
