Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 2
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
>>>>local_vec_size = 73482
>>>>~~~~ local_mat_m = 73482, local_mat_n = 73482
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 3 is 47, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.930815 (s)
128 MLA ||r(i)||/||b|| 3.4839244543374566e-04
129 MLA ||r(i)||/||b|| 3.2048615793976118e-04
130 MLA ||r(i)||/||b|| 2.9487377346046784e-04
131 MLA ||r(i)||/||b|| 2.7136195740017343e-04
132 MLA ||r(i)||/||b|| 2.4977410104195456e-04
133 MLA ||r(i)||/||b|| 2.2994875357456907e-04
134 MLA ||r(i)||/||b|| 2.1173837421376200e-04
135 MLA ||r(i)||/||b|| 1.9500809499898338e-04
136 MLA ||r(i)||/||b|| 1.7963439882619713e-04
137 MLA ||r(i)||/||b|| 1.6550441070594871e-04
138 MLA ||r(i)||/||b|| 1.5251504012825335e-04
139 MLA ||r(i)||/||b|| 1.4057169803130076e-04
140 MLA ||r(i)||/||b|| 1.2958797967837289e-04
141 MLA ||r(i)||/||b|| 1.1948473660077014e-04
142 MLA ||r(i)||/||b|| 1.1018957491056699e-04
143 MLA ||r(i)||/||b|| 1.0163610777010928e-04
144 MLA ||r(i)||/||b|| 9.3763628768095969e-05
145 MLA ||r(i)||/||b|| 8.6516396040341726e-05
146 MLA ||r(i)||/||b|| 7.9843471168263694e-05
147 MLA ||r(i)||/||b|| 7.3698187859376396e-05
148 MLA ||r(i)||/||b|| 6.8037662782182502e-05
149 MLA ||r(i)||/||b|| 6.2822732545300667e-05
150 MLA ||r(i)||/||b|| 5.8017371612317378e-05
151 MLA ||r(i)||/||b|| 5.3588525770863569e-05
152 MLA ||r(i)||/||b|| 4.9505902523486618e-05
153 MLA ||r(i)||/||b|| 4.5741790763218924e-05
154 MLA ||r(i)||/||b|| 4.2270713533309268e-05
155 MLA ||r(i)||/||b|| 3.9069142122745709e-05
156 MLA ||r(i)||/||b|| 3.6115770893732396e-05
157 MLA ||r(i)||/||b|| 3.3390750481910602e-05
158 MLA ||r(i)||/||b|| 3.0876036760766259e-05
159 MLA ||r(i)||/||b|| 2.8555008363531767e-05
160 MLA ||r(i)||/||b|| 2.6412399190195057e-05
161 MLA ||r(i)||/||b|| 2.4434097982622060e-05
162 MLA ||r(i)||/||b|| 2.2607124385014118e-05
163 MLA ||r(i)||/||b|| 2.0919796501977964e-05
164 MLA ||r(i)||/||b|| 1.9361029785447068e-05
165 MLA ||r(i)||/||b|| 1.7920883176328078e-05
166 MLA ||r(i)||/||b|| 1.6590061612907463e-05
167 MLA ||r(i)||/||b|| 1.5360070115959356e-05
168 MLA ||r(i)||/||b|| 1.4223137397066881e-05
169 MLA ||r(i)||/||b|| 1.3172020924319837e-05
170 MLA ||r(i)||/||b|| 1.2200096868340785e-05
171 MLA ||r(i)||/||b|| 1.1301259072350015e-05
172 MLA ||r(i)||/||b|| 1.0469987477982641e-05
173 MLA ||r(i)||/||b|| 9.7009237100665391e-06
174 MLA ||r(i)||/||b|| 8.9894172577216281e-06
175 MLA ||r(i)||/||b|| 8.3311145487036544e-06
176 MLA ||r(i)||/||b|| 7.7218376375886798e-06
177 MLA ||r(i)||/||b|| 7.1578944432893507e-06
178 MLA ||r(i)||/||b|| 6.6358870497408567e-06
179 MLA ||r(i)||/||b|| 6.1526183899797519e-06
180 MLA ||r(i)||/||b|| 5.7050681477037857e-06
181 MLA ||r(i)||/||b|| 5.2906632216577705e-06
182 MLA ||r(i)||/||b|| 4.9068282728377844e-06
183 MLA ||r(i)||/||b|| 4.5513705704670420e-06
184 MLA ||r(i)||/||b|| 4.2220223059963652e-06
185 MLA ||r(i)||/||b|| 3.9168962143359347e-06
186 MLA ||r(i)||/||b|| 3.6341492768332573e-06
187 MLA ||r(i)||/||b|| 3.3721986685696465e-06
188 MLA ||r(i)||/||b|| 3.1293380680309280e-06
189 MLA ||r(i)||/||b|| 2.9042687873735592e-06
190 MLA ||r(i)||/||b|| 2.6955671825119758e-06
191 MLA ||r(i)||/||b|| 2.5020897962231847e-06
192 MLA ||r(i)||/||b|| 2.3226837888870437e-06
193 MLA ||r(i)||/||b|| 2.1563574547580643e-06
194 MLA ||r(i)||/||b|| 2.0021601978589037e-06
195 MLA ||r(i)||/||b|| 1.8590274674938811e-06
196 MLA ||r(i)||/||b|| 1.7263028418542638e-06
197 MLA ||r(i)||/||b|| 1.6031789501585568e-06
198 MLA ||r(i)||/||b|| 1.4889824729091156e-06
199 MLA ||r(i)||/||b|| 1.3829965676755633e-06
200 MLA ||r(i)||/||b|| 1.2846097072157559e-06
201 MLA ||r(i)||/||b|| 1.1933206931512126e-06
202 MLA ||r(i)||/||b|| 1.1086566545824412e-06
203 MLA ||r(i)||/||b|| 1.0300921347454374e-06
204 MLA ||r(i)||/||b|| 9.5714144662426912e-07
205 MLA ||r(i)||/||b|| 8.8933274309692490e-07
206 MLA ||r(i)||/||b|| 8.2646931360725826e-07
207 MLA ||r(i)||/||b|| 7.6805831592496007e-07
208 MLA ||r(i)||/||b|| 7.1382142642465685e-07
209 MLA ||r(i)||/||b|| 6.6344519131869784e-07
210 MLA ||r(i)||/||b|| 6.1668778432256233e-07
211 MLA ||r(i)||/||b|| 5.7326896915030427e-07
212 MLA ||r(i)||/||b|| 5.3294021051607153e-07
213 MLA ||r(i)||/||b|| 4.9547938992085287e-07
214 MLA ||r(i)||/||b|| 4.6064108581774418e-07
215 MLA ||r(i)||/||b|| 4.2826988704024108e-07
216 MLA ||r(i)||/||b|| 3.9832656138780590e-07
217 MLA ||r(i)||/||b|| 3.7041221858762465e-07
218 MLA ||r(i)||/||b|| 3.4445857200827272e-07
219 MLA ||r(i)||/||b|| 3.2031994532039689e-07
220 MLA ||r(i)||/||b|| 2.9792764693918866e-07
221 MLA ||r(i)||/||b|| 2.7707453802273688e-07
222 MLA ||r(i)||/||b|| 2.5780517928558291e-07
223 MLA ||r(i)||/||b|| 2.3981530994150509e-07
224 MLA ||r(i)||/||b|| 2.2312806463481104e-07
225 MLA ||r(i)||/||b|| 2.0756434183265772e-07
226 MLA ||r(i)||/||b|| 1.9311608690583563e-07
227 MLA ||r(i)||/||b|| 1.7965683438648286e-07
228 MLA ||r(i)||/||b|| 1.6717130217713552e-07
229 MLA ||r(i)||/||b|| 1.5558934971612099e-07
230 MLA ||r(i)||/||b|| 1.4476544223001116e-07
231 MLA ||r(i)||/||b|| 1.3473002137049106e-07
232 MLA ||r(i)||/||b|| 1.2541697281890941e-07
233 MLA ||r(i)||/||b|| 1.1669553745555153e-07
234 MLA ||r(i)||/||b|| 1.0866653798357536e-07
235 MLA ||r(i)||/||b|| 1.0112335087294360e-07
236 MLA ||r(i)||/||b|| 9.4117148514549132e-08
237 MLA ||r(i)||/||b|| 8.7654009393482808e-08
238 MLA ||r(i)||/||b|| 8.1662230963494585e-08
239 MLA ||r(i)||/||b|| 7.6050813017568542e-08
240 MLA ||r(i)||/||b|| 7.0861791062089791e-08
241 MLA ||r(i)||/||b|| 6.6005825923199278e-08
242 MLA ||r(i)||/||b|| 6.1452962211969580e-08
243 MLA ||r(i)||/||b|| 5.7237760323185437e-08
244 MLA ||r(i)||/||b|| 5.3292562725126204e-08
