Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
>>>>local_vec_size = 73482
>>>>~~~~ local_mat_m = 73482, local_mat_n = 73482
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 3 is 47, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.799056 (s)
296 MLA ||r(i)||/||b|| 1.5101674186350180e-04
297 MLA ||r(i)||/||b|| 1.4574211813736651e-04
298 MLA ||r(i)||/||b|| 1.4065622866193351e-04
299 MLA ||r(i)||/||b|| 1.3575233752764854e-04
300 MLA ||r(i)||/||b|| 1.3102363798090047e-04
301 MLA ||r(i)||/||b|| 1.2646377898277767e-04
302 MLA ||r(i)||/||b|| 1.2206680034397022e-04
303 MLA ||r(i)||/||b|| 1.1782654573078973e-04
304 MLA ||r(i)||/||b|| 1.1373734361544358e-04
305 MLA ||r(i)||/||b|| 1.0979363052192845e-04
306 MLA ||r(i)||/||b|| 1.0599024127945607e-04
307 MLA ||r(i)||/||b|| 1.0232198828497770e-04
308 MLA ||r(i)||/||b|| 9.8783951935085655e-05
309 MLA ||r(i)||/||b|| 9.5371459034134629e-05
310 MLA ||r(i)||/||b|| 9.2079840816447240e-05
311 MLA ||r(i)||/||b|| 8.8904955251977428e-05
312 MLA ||r(i)||/||b|| 8.5842309164055694e-05
313 MLA ||r(i)||/||b|| 8.2887962522704776e-05
314 MLA ||r(i)||/||b|| 8.0037932901449226e-05
315 MLA ||r(i)||/||b|| 7.7288601018239038e-05
316 MLA ||r(i)||/||b|| 7.4636164808811043e-05
317 MLA ||r(i)||/||b|| 7.2077133694473659e-05
318 MLA ||r(i)||/||b|| 6.9608261714025927e-05
319 MLA ||r(i)||/||b|| 6.7226225354003941e-05
320 MLA ||r(i)||/||b|| 6.4927880002332801e-05
321 MLA ||r(i)||/||b|| 6.2710249754315632e-05
322 MLA ||r(i)||/||b|| 6.0570395927876331e-05
323 MLA ||r(i)||/||b|| 5.8505458703565017e-05
324 MLA ||r(i)||/||b|| 5.6512794252135365e-05
325 MLA ||r(i)||/||b|| 5.4589880426701855e-05
326 MLA ||r(i)||/||b|| 5.2734252596148229e-05
327 MLA ||r(i)||/||b|| 5.0943336418762561e-05
328 MLA ||r(i)||/||b|| 4.9214897648647376e-05
329 MLA ||r(i)||/||b|| 4.7546729725709954e-05
330 MLA ||r(i)||/||b|| 4.5936595148096368e-05
331 MLA ||r(i)||/||b|| 4.4382590934689063e-05
332 MLA ||r(i)||/||b|| 4.2882544001777802e-05
333 MLA ||r(i)||/||b|| 4.1434409166049719e-05
334 MLA ||r(i)||/||b|| 4.0036707752869319e-05
335 MLA ||r(i)||/||b|| 3.8687345314614729e-05
336 MLA ||r(i)||/||b|| 3.7384791966784924e-05
337 MLA ||r(i)||/||b|| 3.6127238190436397e-05
338 MLA ||r(i)||/||b|| 3.4913277033535790e-05
339 MLA ||r(i)||/||b|| 3.3741164572779701e-05
340 MLA ||r(i)||/||b|| 3.2609507649016972e-05
341 MLA ||r(i)||/||b|| 3.1516841697468960e-05
342 MLA ||r(i)||/||b|| 3.0461696604565120e-05
343 MLA ||r(i)||/||b|| 2.9442898369255120e-05
344 MLA ||r(i)||/||b|| 2.8459193131432145e-05
345 MLA ||r(i)||/||b|| 2.7509149033877792e-05
346 MLA ||r(i)||/||b|| 2.6591748661938792e-05
347 MLA ||r(i)||/||b|| 2.5705743713059716e-05
348 MLA ||r(i)||/||b|| 2.4849963760727191e-05
349 MLA ||r(i)||/||b|| 2.4023653225483606e-05
350 MLA ||r(i)||/||b|| 2.3225560319093361e-05
351 MLA ||r(i)||/||b|| 2.2454615912045800e-05
352 MLA ||r(i)||/||b|| 2.1709964402097787e-05
353 MLA ||r(i)||/||b|| 2.0990661091993855e-05
354 MLA ||r(i)||/||b|| 2.0295904650186008e-05
355 MLA ||r(i)||/||b|| 1.9624777830648863e-05
356 MLA ||r(i)||/||b|| 1.8976401476741689e-05
357 MLA ||r(i)||/||b|| 1.8350061319008609e-05
358 MLA ||r(i)||/||b|| 1.7744874965007790e-05
359 MLA ||r(i)||/||b|| 1.7160258499061866e-05
360 MLA ||r(i)||/||b|| 1.6595351513195768e-05
361 MLA ||r(i)||/||b|| 1.6049575859557361e-05
362 MLA ||r(i)||/||b|| 1.5522280307893445e-05
363 MLA ||r(i)||/||b|| 1.5012675359235229e-05
364 MLA ||r(i)||/||b|| 1.4520362807433264e-05
365 MLA ||r(i)||/||b|| 1.4044594462743047e-05
366 MLA ||r(i)||/||b|| 1.3584704945499856e-05
367 MLA ||r(i)||/||b|| 1.3140411019630619e-05
368 MLA ||r(i)||/||b|| 1.2710980867858319e-05
369 MLA ||r(i)||/||b|| 1.2296013306158937e-05
370 MLA ||r(i)||/||b|| 1.1894853122165587e-05
371 MLA ||r(i)||/||b|| 1.1507179767423383e-05
372 MLA ||r(i)||/||b|| 1.1132415141821811e-05
373 MLA ||r(i)||/||b|| 1.0770286437643392e-05
374 MLA ||r(i)||/||b|| 1.0420120323707527e-05
375 MLA ||r(i)||/||b|| 1.0081739117009472e-05
376 MLA ||r(i)||/||b|| 9.7544770759754282e-06
377 MLA ||r(i)||/||b|| 9.4381640276545877e-06
378 MLA ||r(i)||/||b|| 9.1324803193828391e-06
379 MLA ||r(i)||/||b|| 8.8369093323974190e-06
380 MLA ||r(i)||/||b|| 8.5510662755563337e-06
381 MLA ||r(i)||/||b|| 8.2747401645884475e-06
382 MLA ||r(i)||/||b|| 8.0075546274403860e-06
383 MLA ||r(i)||/||b|| 7.7492808909935735e-06
384 MLA ||r(i)||/||b|| 7.4994301708201266e-06
385 MLA ||r(i)||/||b|| 7.2579528864109382e-06
